,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1653,2328,-1,
1,2,1,1,0,0,0,144,1905,31,328,-1,
2,3,1,1,1,0,0,144,1905,31,328,-1,
3,4,1,1,1,1,0,144,1905,31,328,-1,
4,5,1,1,1,1,1,144,2179,30,54,96,EP
5,5,1,1,1,1,2,144,2142,31,21,96,3
6,5,1,1,1,1,3,144,2055,31,71,95,073
7,5,1,1,1,1,4,144,1968,31,72,91,416
8,5,1,1,1,1,5,144,1905,30,50,91,A1
9,2,1,2,0,0,0,429,153,88,28,-1,
10,3,1,2,1,0,0,429,153,88,28,-1,
11,4,1,2,1,1,0,429,153,88,16,-1,
12,5,1,2,1,1,1,429,153,88,16,84,Europaisches
13,4,1,2,1,2,0,429,170,71,11,-1,
14,5,1,2,1,2,1,429,170,71,11,96,Patentamt
15,2,1,3,0,0,0,429,196,89,28,-1,
16,3,1,3,1,0,0,429,196,89,28,-1,
17,4,1,3,1,1,0,429,196,63,15,-1,
18,5,1,3,1,1,1,429,196,63,15,95,European
19,4,1,3,1,2,0,429,212,89,12,-1,
20,5,1,3,1,2,1,429,213,43,11,96,Patent
21,5,1,3,1,2,2,478,212,40,12,90,Office
22,2,1,4,0,0,0,429,239,109,28,-1,
23,3,1,4,1,0,0,429,239,109,28,-1,
24,4,1,4,1,1,0,429,239,109,15,-1,
25,5,1,4,1,1,1,429,239,40,12,93,Office
26,5,1,4,1,1,2,474,239,64,15,93,européen
27,4,1,4,1,2,0,429,255,77,12,-1,
28,5,1,4,1,2,1,429,255,22,12,95,des
29,5,1,4,1,2,2,457,255,49,12,82,brevets
30,2,1,5,0,0,0,281,136,274,150,-1,
31,3,1,5,1,0,0,281,136,274,150,-1,
32,4,1,5,1,1,0,281,136,274,150,-1,
33,5,1,5,1,1,1,281,136,274,150,95, 
34,2,1,6,0,0,0,225,324,45,26,-1,
35,3,1,6,1,0,0,225,324,45,26,-1,
36,4,1,6,1,1,0,225,324,45,26,-1,
37,5,1,6,1,1,1,225,324,45,26,96,(12)
38,2,1,7,0,0,0,225,395,378,53,-1,
39,3,1,7,1,0,0,225,395,378,53,-1,
40,4,1,7,1,1,0,225,395,268,26,-1,
41,5,1,7,1,1,1,225,395,45,26,96,(43)
42,5,1,7,1,1,2,286,397,48,18,96,Date
43,5,1,7,1,1,3,342,397,25,18,96,de
44,5,1,7,1,1,4,376,397,117,23,96,publication:
45,4,1,7,1,2,0,286,430,317,18,-1,
46,5,1,7,1,2,1,286,430,117,18,95,28.09.2016
47,5,1,7,1,2,2,426,430,84,18,95,Bulletin
48,5,1,7,1,2,3,519,430,84,18,96,2016/39
49,2,1,8,0,0,0,225,493,383,26,-1,
50,3,1,8,1,0,0,225,493,383,26,-1,
51,4,1,8,1,1,0,225,493,383,26,-1,
52,5,1,8,1,1,1,225,493,45,26,96,(21)
53,5,1,8,1,1,2,286,495,82,18,95,Numéro
54,5,1,8,1,1,3,376,495,26,18,93,de
55,5,1,8,1,1,4,410,495,64,23,61,dépét:
56,5,1,8,1,1,5,485,495,123,18,90,16161554.7
57,2,1,9,0,0,0,225,559,341,26,-1,
58,3,1,9,1,0,0,225,559,341,26,-1,
59,4,1,9,1,1,0,225,559,341,26,-1,
60,5,1,9,1,1,1,225,559,45,26,96,(22)
61,5,1,9,1,1,2,286,561,48,18,96,Date
62,5,1,9,1,1,3,342,561,25,18,93,de
63,5,1,9,1,1,4,375,561,64,23,59,dépét:
64,5,1,9,1,1,5,449,561,117,18,96,22.03.2016
65,2,1,10,0,0,0,1002,245,458,38,-1,
66,3,1,10,1,0,0,1002,245,458,38,-1,
67,4,1,10,1,1,0,1002,245,458,38,-1,
68,5,1,10,1,1,1,1002,256,44,27,74,(11)
69,5,1,10,1,1,2,1146,245,52,32,96,EP
70,5,1,10,1,1,3,1214,245,20,32,90,3
71,5,1,10,1,1,4,1249,245,68,32,90,073
72,5,1,10,1,1,5,1331,245,69,32,90,416
73,5,1,10,1,1,6,1413,245,47,32,84,A1
74,2,1,11,0,0,0,578,319,535,26,-1,
75,3,1,11,1,0,0,578,319,535,26,-1,
76,4,1,11,1,1,0,578,319,535,26,-1,
77,5,1,11,1,1,1,578,320,136,24,96,DEMANDE
78,5,1,11,1,1,2,718,320,71,24,92,DE
79,5,1,11,1,1,3,801,320,126,24,91,BREVET
80,5,1,11,1,1,4,939,319,174,26,91,EUROPEEN
81,2,1,12,0,0,0,862,395,247,51,-1,
82,3,1,12,1,0,0,862,395,247,51,-1,
83,4,1,12,1,1,0,862,395,126,26,-1,
84,5,1,12,1,1,1,862,395,44,26,67,(51)
85,5,1,12,1,1,2,923,397,25,18,93,Int
86,5,1,12,1,1,3,955,397,33,18,65,Cl:
87,4,1,12,1,2,0,923,425,186,21,-1,
88,5,1,12,1,2,1,923,428,61,18,66,GO6K
89,5,1,12,1,2,2,992,428,45,18,61,9/00
90,5,1,12,1,2,3,1042,425,67,16,57,(2026.07)
91,2,1,13,0,0,0,224,612,1243,6,-1,
92,3,1,13,1,0,0,224,612,1243,6,-1,
93,4,1,13,1,1,0,224,612,1243,6,-1,
94,5,1,13,1,1,1,224,612,1243,6,95, 
95,2,1,14,0,0,0,225,631,599,250,-1,
96,3,1,14,1,0,0,225,631,599,250,-1,
97,4,1,14,1,1,0,225,631,358,27,-1,
98,5,1,14,1,1,1,225,631,45,27,96,(84)
99,5,1,14,1,1,2,286,633,52,19,93,Etats
100,5,1,14,1,1,3,346,634,129,18,92,contractants
101,5,1,14,1,1,4,483,633,100,23,92,désignés:
102,4,1,14,1,2,0,285,666,537,18,-1,
103,5,1,14,1,2,1,285,666,31,18,96,AL
104,5,1,14,1,2,2,323,666,31,18,94,AT
105,5,1,14,1,2,3,363,666,30,18,96,BE
106,5,1,14,1,2,4,403,666,32,18,96,BG
107,5,1,14,1,2,5,445,666,31,18,96,CH
108,5,1,14,1,2,6,486,666,15,18,96,CY
109,5,1,14,1,2,7,502,666,54,18,96,CZ
110,5,1,14,1,2,8,565,666,30,18,96,DE
111,5,1,14,1,2,9,605,666,32,18,92,DK
112,5,1,14,1,2,10,646,666,29,18,92,EE
113,5,1,14,1,2,11,684,666,29,18,93,ES
114,5,1,14,1,2,12,723,666,99,18,90,FIFRGB
115,4,1,14,1,3,0,285,699,539,18,-1,
116,5,1,14,1,3,1,285,699,35,18,87,GR
117,5,1,14,1,3,2,328,699,32,18,87,HR
118,5,1,14,1,3,3,368,699,31,18,27,HU
119,5,1,14,1,3,4,408,699,20,18,27,IE
120,5,1,14,1,3,5,436,699,20,18,41,IS
121,5,1,14,1,3,6,464,699,20,18,41,IT
122,5,1,14,1,3,7,492,699,54,18,75,LILT
123,5,1,14,1,3,8,554,699,28,18,82,LU
124,5,1,14,1,3,9,591,699,28,18,82,LV
125,5,1,14,1,3,10,627,699,35,18,95,MC
126,5,1,14,1,3,11,670,699,35,18,96,MK
127,5,1,14,1,3,12,713,699,32,18,96,MT
128,5,1,14,1,3,13,753,699,29,18,74,NL
129,5,1,14,1,3,14,791,699,33,18,74,NO
130,4,1,14,1,4,0,286,732,336,18,-1,
131,5,1,14,1,4,1,286,732,28,18,95,PL
132,5,1,14,1,4,2,323,732,29,18,95,PT
133,5,1,14,1,4,3,360,732,33,18,96,RO
134,5,1,14,1,4,4,403,732,31,18,94,RS
135,5,1,14,1,4,5,442,732,30,18,94,SE
136,5,1,14,1,4,6,480,732,20,18,90,SI
137,5,1,14,1,4,7,510,732,31,18,90,SK
138,5,1,14,1,4,8,550,732,72,18,91,SMTR
139,4,1,14,1,5,0,286,765,287,23,-1,
140,5,1,14,1,5,1,286,765,52,18,93,Etats
